
2023/09/02 (21:39:35) | ===> btop++ v.1.2.13
2023/09/02 (21:39:35) | ERROR: Stall in Runner thread, restarting!
2023/09/02 (21:45:03) | ERROR: Stall in Runner thread, restarting!
2023/09/02 (21:50:45) | ERROR: Stall in Runner thread, restarting!

2023/12/04 (17:07:09) | ===> btop++ v.1.2.13
2023/12/04 (17:07:09) | WARNING: Error in Mem::collect() : filesystem error: cannot get file time: No such file or directory [/etc/fstab]
2023/12/04 (17:07:09) | ERROR: Exception in runner thread -> Proc:: -> filesystem error: cannot get file time: No such file or directory [/etc/passwd]

2024/02/03 (17:41:11) | ===> btop++ v.1.2.13
2024/02/03 (17:41:11) | ERROR: Stall in Runner thread, restarting!

2024/02/24 (16:12:17) | ===> btop++ v.1.3.0
2024/02/24 (16:12:17) | WARNING: Failed to get disk/partition stats for mount "/run/media/jkyon/Seagate\040Backup\040Plus\040Drive" with statvfs error code: 2. Ignoring...

2024/03/01 (02:24:08) | ===> btop++ v.1.3.0
2024/03/01 (02:24:08) | ERROR: Stall in Runner thread, restarting!
